date,time,team1,team2,WIN_1,WIN_2,Handicap_1,Hand_1_odds,Handicap_2,Hand_2_odds,O,O_odds,U,U_odds
25/03,01:00,Ateneo P. Versailles,Gimnasia de Ituzaingo,1.98,1.78,+1.5,1.87,-1.5,1.87,O 151.5,1.91,U 151.5,1.83
25/03,01:00,Claridad,Club Social y Deportivo Presidente Derqui,7.40,1.07,+15.5,1.87,-15.5,1.87,O 156.5,1.88,U 156.5,1.85
25/03,01:00,Villa Mitre II,Club Atletico River Plate,6.20,1.10,+13.5,1.87,-13.5,1.87,O 137.5,1.91,U 137.5,1.83
25/03,01:00,Broncos de Caracas,Taurinos de Aragua,1.007,13.50,-25.5,1.85,+25.5,1.88,O 163.5,1.90,U 163.5,1.85
25/03,01:00,Gaiteros Del Zulia,Trotamundos de Carabobo,3.45,1.28,+8.5,1.82,-8.5,1.93,O 158.5,1.85,U 158.5,1.88
25/03,01:00,Centauros de Portuguesa,Llaneros de Guarico,1.31,3.25,-7.5,1.87,+7.5,1.87,O 155.5,1.88,U 155.5,1.85
25/03,01:00,Corinthians,EC Uniao Corinthians,1.25,3.85,-9.5,1.87,+9.5,1.87,O 158.5,1.83,U 158.5,1.91
25/03,01:00,Basquete Cearense,Pinheiros,3.45,1.30,+7.5,1.88,-7.5,1.85,O 159.5,1.83,U 159.5,1.90
25/03,01:15,Houston Cougars,Miami Florida Hurricanes,1.28,3.85,-7.5,1.90,+7.5,1.91,O 139.5,1.90,U 139.5,1.91
25/03,01:15,Urupan de Pando,Trouville,1.44,2.67,-4.5,1.85,+4.5,1.88,O 172.5,1.90,U 172.5,1.85
25/03,01:30,Toronto Raptors,Detroit Pistons,1.08,8.50,-14.5,1.90,+14.5,1.91,O 223.5,1.90,U 223.5,1.91
25/03,01:30,Iowa Hawkeyes (W),Colorado Buffaloes (W),1.35,3.00,-5.5,1.80,+5.5,1.93,O 146.5,1.91,U 146.5,1.82
25/03,01:30,Club Deportivo Universidad Catolica,Mun. Puente Alto,2.20,1.62,+2.5,1.88,-2.5,1.85,O 157.5,1.87,U 157.5,1.87
25/03,02:00,Memphis Grizzlies,Houston Rockets,1.11,7.20,-12.5,1.87,+12.5,1.93,O 233.5,1.87,U 233.5,1.93
25/03,02:00,Arkansas Razorbacks (W),Texas Tech Red Raiders (W),1.16,4.90,-9.5,1.87,+9.5,1.87,O 140.5,1.87,U 140.5,1.87
25/03,02:00,Ameghino de Villa Maria,Jachal de San Juan,1.04,9.00,-18.5,1.83,+18.5,1.90,O 163.5,1.85,U 163.5,1.88
25/03,02:00,Bochas Sport Club de Colonia Caroya,El Ceibo,2.82,1.40,+5.5,1.90,-5.5,1.85,O 161.5,1.88,U 161.5,1.85
25/03,02:00,UNAM,TEC MTY Monterrey,2.50,1.50,+4.5,1.87,-4.5,1.87,O 137.5,1.87,U 137.5,1.87
25/03,02:00,Grises de Humacao,Piratas de Quebradillas,2.15,1.65,+2.5,1.87,-2.5,1.87,O 167.5,1.88,U 167.5,1.85
25/03,02:00,San German,Mayaguez,1.42,2.70,-5.5,1.85,+5.5,1.88,O 164.5,1.88,U 164.5,1.85
25/03,02:00,Mets de Guaynabo,Bayamon,2.15,1.65,+2.5,1.88,-2.5,1.85,O 165.5,1.85,U 165.5,1.88
25/03,02:10,Asociacion Deportiva Atenas,San Martin Corrientes,3.45,1.28,+7.5,1.91,-7.5,1.82,O 152.5,1.87,U 152.5,1.88
25/03,02:40,Dallas Mavericks,Charlotte Hornets,1.08,8.50,-14.5,1.85,+14.5,1.95,O 226.5,1.87,U 226.5,1.95
25/03,02:45,Real Club De Lima,Leones SC,1.78,1.98,-1.5,1.87,+1.5,1.87,O 152.5,1.88,U 152.5,1.85
25/03,03:00,Utah Jazz,Milwaukee Bucks,4.75,1.21,+9.5,1.87,-9.5,1.93,O 235.5,1.90,U 235.5,1.91
25/03,03:00,Creighton Bluejays,Princeton Tigers,1.20,4.85,-9.5,1.85,+9.5,1.98,O 140.5,1.90,U 140.5,1.90
25/03,03:00,El Tala de Rosario,Santa Paula de Galvez,2.75,1.42,+5.5,1.87,-5.5,1.87,O 160.5,1.88,U 160.5,1.85
25/03,03:00,Alberdi de Tucuman,Avellaneda Central de Tucuman,1.55,2.35,-3.5,1.87,+3.5,1.87,O 161.5,1.88,U 161.5,1.85
25/03,03:00,UP Guadalajara,TEC MTY Guadalajara,2.45,1.52,+4.5,1.87,-4.5,1.87,O 145.5,1.87,U 145.5,1.87
25/03,03:00,Universidad Interamericana,UPAEP,1.31,3.30,-7.5,1.87,+7.5,1.87,O 137.5,1.87,U 137.5,1.87
25/03,03:30,AD Isidro Metapan,Brujos Izalco,1.10,6.10,-12.5,1.82,+12.5,1.93,O 170.5,1.83,U 170.5,1.91
25/03,03:30,Teporacas de Chihuahua (W),Quetzales Sajoma (W),1.17,4.60,-11.5,1.87,+11.5,1.87,O 138.5,1.87,U 138.5,1.87
25/03,03:45,Texas Longhorns,Xavier Musketeers,1.56,2.78,-4.5,1.95,+4.5,1.87,O 148.5,1.93,U 148.5,1.88
25/03,04:00,Sacramento Kings,Phoenix Suns,1.62,2.35,-3.5,1.95,+3.5,1.87,O 239.5,1.90,U 239.5,1.91
25/03,04:00,Louisville Cardinals (W),Ole Mississippi Rebels (W),1.65,2.15,-2.5,1.87,+2.5,1.87,O 125.5,1.87,U 125.5,1.87
25/03,04:00,Washington Huskies (W),Kansas State Wildcats (W),1.57,2.32,-3.5,1.87,+3.5,1.87,O 123.5,1.87,U 123.5,1.87
25/03,04:00,CEU,TEC MTY Puebla,1.16,4.85,-11.5,1.87,+11.5,1.87,O 153.5,1.87,U 153.5,1.87
25/03,04:10,Golden State Warriors,Philadelphia 76ers,1.55,2.81,-5.5,1.95,+5.5,1.85,O 234.5,1.87,U 234.5,1.95
25/03,04:10,Portland Trail Blazers,Chicago Bulls,2.47,1.57,+3.5,1.98,-3.5,1.85,O 222.5,1.90,U 222.5,1.90
25/03,04:15,Regatas Lima,Lima Norte,1.04,9.00,-18.5,1.87,+18.5,1.87,O 144.5,1.87,U 144.5,1.87
25/03,04:30,Zonkeys de Tijuana,Halcones de Ciudad Obregon,1.78,1.98,-1.5,1.87,+1.5,1.87,O 175.5,1.88,U 175.5,1.85
25/03,04:40,Los Angeles Lakers,Oklahoma City Thunder,1.50,2.70,-4.5,1.85,+4.5,1.98,O 231.5,1.93,U 231.5,1.88
25/03,05:15,Pioneros de Los Mochis,Astros de Jalisco,2.05,1.72,+2.5,1.85,-2.5,1.88,O 176.5,1.90,U 176.5,1.85
25/03,05:15,Venados de Mazatlan,Rayos de Hermosillo,2.05,1.72,+2.5,1.83,-2.5,1.91,O 170.5,1.85,U 170.5,1.90
25/03,06:00,Bankstown Bruins (W),Illawara Hawks (W),13.50,1.006,+24.5,1.88,-24.5,1.85,O 132.5,1.85,U 132.5,1.90
25/03,06:35,Shimane Susanoo Magic,Kyoto Hannaryz,1.10,6.20,-12.5,1.80,+12.5,1.93,O 158.5,1.87,U 158.5,1.87
25/03,07:00,Manly Warringah Sea Eagles (W),Central Coast Crusaders (W),1.19,4.30,-10.5,1.85,+10.5,1.88,O 138.5,1.87,U 138.5,1.87
25/03,07:00,Koshigaya Alphas,Nishinomiya Storks,1.40,2.80,-5.5,1.82,+5.5,1.93,O 153.5,1.83,U 153.5,1.91
25/03,07:00,Tokyo Hachioji Trains,Saitama Broncos,4.40,1.19,+10.5,1.87,-10.5,1.87,O 164.5,1.85,U 164.5,1.88
25/03,07:00,Shonan United BC,Yamaguchi Patriots,1.42,2.70,-5.5,1.85,+5.5,1.88,O 168.5,1.87,U 168.5,1.87
25/03,07:00,Taiwan Power (W),Chunghua Telecom (W),2.75,1.42,+5.5,1.82,-5.5,1.91,O 129.5,1.87,U 129.5,1.87
25/03,07:05,Shiga Lake Stars,Sun Rockers Shibuya,3.40,1.29,+7.5,1.83,-7.5,1.91,O 169.5,1.88,U 169.5,1.85
25/03,07:05,Toyama Grouses,Hiroshima Dragonflies,6.20,1.10,+13.5,1.93,-13.5,1.82,O 168.5,1.83,U 168.5,1.91
25/03,08:00,Bankstown Bruins,Illawarra Hawks II,3.70,1.25,+7.5,1.93,-7.5,1.82,O 173.5,1.85,U 173.5,1.88
25/03,08:00,Albury Wodonga Bandits (W),Hills Hornets (W),1.006,14.00,-24.5,1.85,+24.5,1.90,O 142.5,1.85,U 142.5,1.88
25/03,08:00,Newcastle Falcons (W),Canberra Nationals (W),1.21,4.10,-9.5,1.91,+9.5,1.83,O 132.5,1.87,U 132.5,1.87
