Championship,Team1,Team2,Time,Win1,Win1_odd,Win2,Win2_odd,Over,O_odd,Under,U_odd,One,One_odd,Two,Two_odd
Chile - Liga Nacional,Club AB Temuco,CD Universidad De Concepcion,Mon 03:00,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
Tunisia - Pro A,Club Africain,DS Grombalia,16:00,-14.5,1.87,+14.5,1.87,O 135.5,1.86,U 135.5,1.88,1,1.07,2,7.50
Tunisia - Pro A,Ezzahra Sports,Etoile Sportive Sahel,16:00,-8.5,1.87,+8.5,1.87,O 125.5,1.89,U 125.5,1.85,1,1.23,2,3.90
Tunisia - Pro A,US Monastirienne,ES Rades,16:00,-8.5,1.90,+8.5,1.84,O 141.5,1.90,U 141.5,1.84,1,1.24,2,3.80
Romania - LNB (W),CSU Cluj Napoca (W),ACS KSE Targu Secuiesc (W),14:00,+3.5,1.93,-3.5,1.81,O 134.5,1.87,U 134.5,1.87,1,2.35,2,1.55
Romania - LNB (W),ACS Sepsi Sic (W),CS Rapid (W),19:00,Markets are not available,No_market,No_market,No_market,O 153.5,1.87,U 153.5,1.87,1,1.001,2,14.50
Israel - Super League,Hapoel Eilat,Hapoel Tel Aviv,18:00,+6.5,1.84,-6.5,1.94,O 169.5,1.85,U 169.5,1.93,1,3.05,2,1.38
Israel - Super League,Hapoel Jerusalem,Maccabi Tel-Aviv,20:30,+3.5,1.94,-3.5,1.84,O 159.5,1.91,U 159.5,1.86,1,2.42,2,1.57
Spain - LEB Oro,CD Estela,San Pablo Burgos,13:30,+11.5,1.88,-11.5,1.82,O 155.5,1.85,U 155.5,1.85,1,5.65,2,1.12
Germany - Pro A,Eisbaren Bremerhaven,Post Sudstadt Karlsruhe,16:00,-1.5,1.88,+1.5,1.86,O 172.5,1.88,U 172.5,1.86,1,1.78,2,1.97
Germany - Pro A,Science City Jena,Giants Dusseldorf,17:30,-5.5,1.90,+5.5,1.84,O 167.5,1.85,U 167.5,1.89,1,1.43,2,2.70
Germany - Pro A,Wwu Baskets Munster,VFL Astrostars,19:00,+4.5,1.81,-4.5,1.93,O 169.5,1.87,U 169.5,1.87,1,2.40,2,1.53
Czech Republic - 1. Liga,BC Novy Jicin,SA Brno,17:00,-4.5,1.91,+4.5,1.83,O 166.5,1.90,U 166.5,1.84,1,1.53,2,2.40
Czech Republic - 1. Liga,BC Vysocina,GBA Sojky Pelhrimov,17:30,+5.5,1.92,-5.5,1.82,O 139.5,1.85,U 139.5,1.89,1,2.85,2,1.39
Czech Republic - 1. Liga,Levhartice Chomutov,BCM Orli Prostejov,18:00,-8.5,1.83,+8.5,1.91,O 153.5,1.87,U 153.5,1.87,1,1.21,2,4.10
Czech Republic - 1. Liga,Baketball Polabi,Turi Svitavy,18:30,+12.5,1.86,-12.5,1.88,O 169.5,1.91,U 169.5,1.83,1,6.00,2,1.11
Czech Republic - 1. Liga,Slavoj BK Litomerice,BK Jindrichuv Hradec,19:00,+1.5,1.83,-1.5,1.91,O 148.5,1.91,U 148.5,1.83,1,1.93,2,1.81
Italy - A2,Benedetto Xiv Cento,Blu Basket 1971,18:00,-5.5,1.93,+5.5,1.81,O 147.5,1.91,U 147.5,1.83,1,1.44,2,2.65
Italy - A2,APU Udine,UCC Piacenza,19:00,-6.5,1.92,+6.5,1.82,O 157.5,1.84,U 157.5,1.90,1,1.37,2,2.95
Italy - A2,Cestistica Citta DI San Severo,Stella Azzurra Roma,19:00,-3.5,1.84,+3.5,1.90,O 149.5,1.87,U 149.5,1.87,1,1.55,2,2.35
Italy - A2,Chieti Basket 1974,NPC Rieti,19:00,-7.5,1.84,+7.5,1.90,O 146.5,1.91,U 146.5,1.83,1,1.27,2,3.55
Italy - A2,Gmac Bologna,Torino,19:00,-4.5,1.90,+4.5,1.84,O 164.5,1.90,U 164.5,1.84,1,1.50,2,2.45
Italy - A2,Pallacanestro 2.015 Forli,Vanoli Cremona,19:00,-2.5,1.92,+2.5,1.82,O 147.5,1.91,U 147.5,1.83,1,1.70,2,2.08
Italy - A2,Pallacanestro Mantovana,Casale Monferrato,19:00,-5.5,1.85,+5.5,1.89,O 151.5,1.84,U 151.5,1.90,1,1.40,2,2.80
Italy - A2,Pistoia Basket,Cantu,19:00,-1.5,1.87,+1.5,1.87,O 147.5,1.86,U 147.5,1.88,1,1.77,2,1.98
Italy - A2,Ravenna,Juvi Cremona 1952 Ferraroni,19:00,-6.5,1.89,+6.5,1.85,O 151.5,1.85,U 151.5,1.89,1,1.35,2,3.05
Italy - A2,San Giobbe Chiusi,Fortitudo Agrigento,19:00,-3.5,1.91,+3.5,1.83,O 155.5,1.91,U 155.5,1.83,1,1.60,2,2.25
Italy - A2,Rinascita Basket Rimini,Latina Basket,20:00,-10.5,1.81,+10.5,1.93,O 157.5,1.84,U 157.5,1.90,1,1.15,2,5.00
France - LFB (W),Asvel (W),Tango Bourges Basket (W),16:15,-3.5,1.83,+3.5,1.91,O 144.5,1.87,U 144.5,1.87,1,1.55,2,2.35
France - LFB (W),Basket Landes (W),Lattes Montpellier (W),17:30,+3.5,1.91,-3.5,1.83,O 139.5,1.84,U 139.5,1.90,1,2.35,2,1.55
Turkey - TBL,Ted Ankara Kolejliler,ITU BK,15:45,-4.5,1.80,+4.5,1.94,O 157.5,1.86,U 157.5,1.88,1,1.46,2,2.60
Turkey - TBL,Yalovaspor,Balikesir Belediye Spor,17:30,-8.5,1.88,+8.5,1.86,O 157.5,1.89,U 157.5,1.85,1,1.23,2,3.90
Turkey - TBL 2,Konyaspor,Ilker Sehri Usak,15:00,-2.5,1.84,+2.5,1.90,O 141.5,1.87,U 141.5,1.87,1,1.65,2,2.15
Serbia - KLS,KK Mladost Zemun,Kolubara LA 2003,17:00,-5.5,1.90,+5.5,1.81,O 171.5,1.81,U 171.5,1.90,1,1.44,2,2.65
Serbia - KLS,Kk Zlatibor,KK Metalac,19:00,-7.5,1.85,+7.5,1.85,O 169.5,1.86,U 169.5,1.84,1,1.28,2,3.45
Serbia - KLS,OKK Novi Pazar,KK Zdravlje Leskovac,21:00,-5.5,1.90,+5.5,1.81,O 164.5,1.87,U 164.5,1.83,1,1.43,2,2.70
Italy - Serie B,Basket Mestre 1958,Orlandina Basket,17:00,-12.5,1.87,+12.5,1.87,O 153.5,1.86,U 153.5,1.88,1,1.10,2,6.20
Italy - Serie B,Andrea Costa Imola,Virtus Imola,19:00,-1.5,1.81,+1.5,1.93,O 145.5,1.88,U 145.5,1.86,1,1.73,2,2.03
Italy - Serie B,Basket Golfo Piombino,LTC Sangiorgese Basket,19:00,-6.5,1.81,+6.5,1.93,O 148.5,1.88,U 148.5,1.86,1,1.32,2,3.20
Italy - Serie B,CUS Jonico Basket Taranto,Basket Corato,19:00,-7.5,1.80,+7.5,1.94,O 145.5,1.86,U 145.5,1.88,1,1.25,2,3.70
Italy - Serie B,Elachem Vigevano 1955,Opus Libertas Livorno 1947,19:00,-3.5,1.88,+3.5,1.86,O 144.5,1.91,U 144.5,1.83,1,1.57,2,2.30
Italy - Serie B,FS Avellino,ASD Luiss Roma,19:00,+1.5,1.87,-1.5,1.87,O 144.5,1.85,U 144.5,1.89,1,1.97,2,1.78
Italy - Serie B,Goldengas Pallacanestro Senigallia,NFB Ozzano Basket,19:00,-2.5,1.93,+2.5,1.81,O 153.5,1.90,U 153.5,1.84,1,1.72,2,2.05
Italy - Serie B,Green Basket Palermo,Rucker Sanve San Vendemiano,19:00,+13.5,1.84,-13.5,1.90,O 147.5,1.90,U 147.5,1.84,1,6.50,2,1.09
Italy - Serie B,Herons Basket,College Bk Borgomanero,19:00,-15.5,1.92,+15.5,1.82,O 151.5,1.86,U 151.5,1.88,1,1.06,2,8.00
Italy - Serie B,Lions Basket Bisceglie,Talos Ruvo DI Puglia,19:00,+1.5,1.78,-1.5,1.97,O 146.5,1.88,U 146.5,1.86,1,1.88,2,1.86
Italy - Serie B,Luciana Mosconi Ancona,Bakery Piacenza,19:00,-3.5,1.84,+3.5,1.90,O 151.5,1.90,U 151.5,1.84,1,1.55,2,2.35
Italy - Serie B,Pallacanestro Crema,Tramarossa Vicenza,19:00,-1.5,1.87,+1.5,1.87,O 143.5,1.91,U 143.5,1.83,1,1.78,2,1.97
Italy - Serie B,Pallacanestro Sala Consilina,Virtus Arechi Salerno,19:00,+2.5,1.89,-2.5,1.85,O 141.5,1.84,U 141.5,1.90,1,2.15,2,1.65
