Date,Time,Team1,Team2,One_odd,Two_odd,Win1,Win1_odd,Win2,Win2_odd,O,O_odd,U,U_odd
02-Apr,14:00,Tenerife,Barcelona,2.75,1.47,4.5,1.95,-4.5,1.85,O 156.5,1.95,U 156.5,1.87
02-Apr,14:00,CB Adareva Tenerife (W),Maristas Cordoba (W),1.14,5.2,-11.5,1.87,11.5,1.87,O 132.5,1.87,U 132.5,1.87
02-Apr,14:00,Changhua BLL,Taiwan Beer,1.98,1.78,1.5,1.88,-1.5,1.85,O 153.5,1.91,U 153.5,1.83
02-Apr,14:00,CSU Cluj-Napoca (W),KSE Targu Secuiesc (W),2.55,1.47,4.5,1.87,-4.5,1.87,O 135.5,1.91,U 135.5,1.83
02-Apr,14:00,KK Star Novi Sad,KK Slodes,1.08,7,-13.5,1.85,13.5,1.85,O 186.5,1.85,U 186.5,1.85
02-Apr,14:35,Zhejiang Golden Bulls,Shanghai Sharks,1.22,4.1,-9.5,1.87,9.5,1.87,O 209.5,1.9,U 209.5,1.83
02-Apr,14:35,Jilin Northeast Tigers,Zhejiang Guangsha Lions,2.3,1.6,3.5,1.87,-3.5,1.87,O 196.5,1.83,U 196.5,1.9
02-Apr,14:35,Beijing Royal Fighters,Ningbo Fubon Rockets,1.02,11.75,-18.5,1.87,18.5,1.87,O 194.5,1.88,U 194.5,1.85
02-Apr,14:35,Guangdong Southern Tigers,Shandong Heroes,1.08,7.7,-14.5,1.87,14.5,1.87,O 200.5,1.85,U 200.5,1.88
02-Apr,14:35,Jiangsu Dragons,Fujian Sturgeons,1.06,8.5,-15.5,1.87,15.5,1.88,O 204.5,1.87,U 204.5,1.87
02-Apr,14:35,Qingdao Eagles,Sichuan Blue Whales,1.08,7.4,-14.5,1.87,14.5,1.87,O 195.5,1.87,U 195.5,1.88
02-Apr,15:00,Marousi,Koroivos Amaliadas,1.27,3.5,-8.5,1.82,8.5,1.93,O 153.5,1.87,U 153.5,1.87
02-Apr,15:00,Landstede Basketball Zwolle,Limburg United,2.15,1.65,2.5,1.88,-2.5,1.87,O 156.5,1.87,U 156.5,1.88
02-Apr,15:00,Salou,Palma,2.05,1.72,1.5,1.91,-1.5,1.83,O 159.5,1.87,U 159.5,1.87
